Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Price_Lakh,service_cost_thousand,Car_Age,Engine_Category,Mileage_Category
71,Toyota,Glanza,2023,Diesel,Automatic,1630000.0,27.1,800,4,17700.0,16.3,17.7,1,Below 1.0L,Excellent
72,Hyundai,Creta,2020,Electric,Manual,1720000.0,23.0,2500,6,21900.0,17.2,21.9,4,2.0L-3.0L,Good
73,Honda,WR-V,2021,Electric,Automatic,940000.0,25.7,1500,4,9900.0,9.4,9.9,3,1.0L-1.5L,Excellent
74,Mahindra,Thar,2022,Diesel,Manual,3090000.0,26.2,1500,6,15800.0,30.9,15.8,2,1.0L-1.5L,Excellent
75,Toyota,Glanza,2016,Diesel,Manual,3260000.0,10.2,1000,4,6300.0,32.6,6.3,8,Below 1.0L,Low
76,Mahindra,XUV300,2022,Petrol,Automatic,2150000.0,13.0,1800,6,5300.0,21.5,5.3,2,1.5L-2.0L,Low
77,Tata Motors,Punch,2019,Petrol,Manual,1720000.0,17.3,2000,5,6900.0,17.2,6.9,5,1.5L-2.0L,Average
78,Hyundai,i20,2018,Diesel,Automatic,2070000.0,15.5,2500,5,19700.0,20.7,19.7,6,2.0L-3.0L,Average
79,Honda,Civic,2024,Diesel,Automatic,2040000.0,27.6,2500,5,14700.0,20.4,14.7,0,2.0L-3.0L,Excellent
80,Tata Motors,Altroz,2018,CNG,Manual,1990000.0,19.9,800,6,21600.0,19.9,21.6,6,Below 1.0L,Average
81,Skoda,Octavia,2020,Diesel,Automatic,820000.0,28.7,2500,5,11700.0,8.2,11.7,4,2.0L-3.0L,Excellent
82,Volkswagen,Taigun,2020,Diesel,Manual,1080000.0,14.3,1800,4,24200.0,10.8,24.2,4,1.5L-2.0L,Low
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1510000.0,12.0,1000,4,14200.0,15.1,14.2,7,Below 1.0L,Low
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,850000.0,15.3,1800,5,10200.0,8.5,10.2,2,1.5L-2.0L,Average
85,Skoda,Kushaq,2021,Electric,Automatic,1450000.0,27.6,1000,5,16700.0,14.5,16.7,3,Below 1.0L,Excellent
86,Kia,Carnival,2022,Petrol,Automatic,1930000.0,19.7,2000,5,18300.0,19.3,18.3,2,1.5L-2.0L,Average
87,Kia,EV6,2016,Diesel,Automatic,1310000.0,11.9,2000,6,22700.0,13.1,22.7,8,1.5L-2.0L,Low
88,Renault,Lodgy,2016,CNG,Manual,520000.0,26.4,1800,5,14600.0,5.2,14.6,8,1.5L-2.0L,Excellent
89,Toyota,Fortuner,2016,CNG,Manual,2560000.0,29.3,1000,4,22900.0,25.6,22.9,8,Below 1.0L,Excellent
90,Hyundai,i20,2017,Petrol,Automatic,1790000.0,10.5,1800,7,8800.0,17.9,8.8,7,1.5L-2.0L,Low
91,Volkswagen,Vento,2018,Electric,Manual,1770000.0,13.6,1200,5,18000.0,17.7,18.0,6,1.0L-1.5L,Low
92,Hyundai,i20,2015,Diesel,Manual,2750000.0,22.6,1000,4,18900.0,27.5,18.9,9,Below 1.0L,Good
93,Volkswagen,Taigun,2021,CNG,Manual,3240000.0,24.1,1000,4,10400.0,32.4,10.4,3,Below 1.0L,Good
94,Tata Motors,Nexon,2023,Electric,Automatic,1210000.0,20.8,2000,7,9000.0,12.1,9.0,1,1.5L-2.0L,Good
95,Toyota,Innova,2018,Electric,Manual,2360000.0,20.2,800,5,13000.0,23.6,13.0,6,Below 1.0L,Good
96,Volkswagen,Polo,2018,CNG,Manual,3300000.0,10.6,1500,6,24200.0,33.0,24.2,6,1.0L-1.5L,Low
97,Honda,Civic,2017,CNG,Automatic,1610000.0,18.2,800,4,23600.0,16.1,23.6,7,Below 1.0L,Average
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1370000.0,26.0,1200,7,13400.0,13.7,13.4,4,1.0L-1.5L,Excellent
99,Hyundai,Verna,2017,Diesel,Automatic,3320000.0,16.6,1000,6,10300.0,33.2,10.3,7,Below 1.0L,Average
100,Hyundai,Creta,2020,Electric,Automatic,2470000.0,14.2,1000,5,23100.0,24.7,23.1,4,Below 1.0L,Low
101,Toyota,Innova,2020,Diesel,Manual,2010000.0,29.9,1800,5,9200.0,20.1,9.2,4,1.5L-2.0L,Excellent
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,3270000.0,22.9,1000,4,7600.0,32.7,7.6,9,Below 1.0L,Good
103,Skoda,Kushaq,2019,Petrol,Automatic,2730000.0,20.7,800,4,23300.0,27.3,23.3,5,Below 1.0L,Good
104,Tata Motors,Tiago,2019,Diesel,Automatic,1930000.0,10.5,2000,6,11400.0,19.3,11.4,5,1.5L-2.0L,Low
105,Mahindra,Thar,2021,Petrol,Manual,2390000.0,21.7,2000,4,12400.0,23.9,12.4,3,1.5L-2.0L,Good
106,Tata Motors,Altroz,2015,Petrol,Manual,2060000.0,28.8,1800,6,10500.0,20.6,10.5,9,1.5L-2.0L,Excellent
107,Toyota,Urban Cruiser,2018,Electric,Automatic,3150000.0,11.8,1500,6,17300.0,31.5,17.3,6,1.0L-1.5L,Low
108,Skoda,Kushaq,2018,Electric,Automatic,2960000.0,16.0,2000,5,21700.0,29.6,21.7,6,1.5L-2.0L,Average
109,Tata Motors,Nexon,2020,Diesel,Automatic,2240000.0,25.1,1000,5,13600.0,22.4,13.6,4,Below 1.0L,Excellent
110,Kia,Carens,2022,Petrol,Manual,1370000.0,23.5,2500,7,5100.0,13.7,5.1,2,2.0L-3.0L,Good
111,Honda,Amaze,2024,Diesel,Manual,2950000.0,18.1,800,6,6700.0,29.5,6.7,0,Below 1.0L,Average
112,Honda,Amaze,2018,Diesel,Manual,2130000.0,17.8,800,5,19900.0,21.3,19.9,6,Below 1.0L,Average
113,Maruti Suzuki,Baleno,2018,Electric,Manual,1330000.0,24.4,1200,7,10100.0,13.3,10.1,6,1.0L-1.5L,Good
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,3020000.0,20.5,1500,4,5100.0,30.2,5.1,4,1.0L-1.5L,Good
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,990000.0,27.4,800,4,16700.0,9.9,16.7,1,Below 1.0L,Excellent
116,Maruti Suzuki,Baleno,2023,CNG,Manual,3240000.0,25.6,1000,7,13600.0,32.4,13.6,1,Below 1.0L,Excellent
117,Hyundai,Venue,2023,Petrol,Manual,3430000.0,29.4,1000,4,23700.0,34.3,23.7,1,Below 1.0L,Excellent
118,Honda,Amaze,2018,Electric,Manual,1280000.0,12.0,1000,7,20300.0,12.8,20.3,6,Below 1.0L,Low
119,Honda,Jazz,2019,CNG,Automatic,1220000.0,11.1,1000,5,12600.0,12.2,12.6,5,Below 1.0L,Low
120,Toyota,Innova,2017,Electric,Automatic,1720000.0,22.0,1800,4,20900.0,17.2,20.9,7,1.5L-2.0L,Good
121,Kia,Sonet,2018,Diesel,Automatic,2640000.0,25.6,1500,6,5900.0,26.4,5.9,6,1.0L-1.5L,Excellent
122,Honda,Jazz,2016,CNG,Automatic,1800000.0,27.7,2000,6,17400.0,18.0,17.4,8,1.5L-2.0L,Excellent
123,Honda,WR-V,2023,Electric,Automatic,3470000.0,13.0,800,7,10200.0,34.7,10.2,1,Below 1.0L,Low
124,Toyota,Innova,2021,Diesel,Manual,1730000.0,22.2,1200,5,21500.0,17.3,21.5,3,1.0L-1.5L,Good
125,Skoda,Slavia,2023,Electric,Manual,2660000.0,16.9,2000,4,18400.0,26.6,18.4,1,1.5L-2.0L,Average
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2960000.0,16.7,2000,5,8300.0,29.6,8.3,3,1.5L-2.0L,Average
127,Renault,Lodgy,2023,Petrol,Automatic,1460000.0,28.7,2000,6,23200.0,14.6,23.2,1,1.5L-2.0L,Excellent
128,Honda,City,2017,Electric,Manual,3360000.0,26.0,1500,5,8000.0,33.6,8.0,7,1.0L-1.5L,Excellent
129,Skoda,Kushaq,2018,Diesel,Automatic,2890000.0,22.0,1800,5,22900.0,28.9,22.9,6,1.5L-2.0L,Good
130,Renault,Kiger,2015,Petrol,Manual,1490000.0,19.2,1200,7,16500.0,14.9,16.5,9,1.0L-1.5L,Average
131,Kia,EV6,2023,Diesel,Automatic,1420000.0,29.6,1500,6,18400.0,14.2,18.4,1,1.0L-1.5L,Excellent
132,Renault,Kwid,2019,CNG,Automatic,1040000.0,12.2,1200,7,9500.0,10.4,9.5,5,1.0L-1.5L,Low
133,Mahindra,Scorpio,2019,Diesel,Manual,1300000.0,27.8,2000,4,23200.0,13.0,23.2,5,1.5L-2.0L,Excellent
134,Maruti Suzuki,Dzire,2024,CNG,Manual,3370000.0,25.8,1200,7,11500.0,33.7,11.5,0,1.0L-1.5L,Excellent
135,Skoda,Rapid,2023,Diesel,Automatic,2040000.0,27.0,2000,7,13600.0,20.4,13.6,1,1.5L-2.0L,Excellent
136,Honda,Civic,2019,Petrol,Manual,2190000.0,17.4,800,7,10200.0,21.9,10.2,5,Below 1.0L,Average
137,Tata Motors,Harrier,2021,Petrol,Automatic,2520000.0,25.7,2500,4,19800.0,25.2,19.8,3,2.0L-3.0L,Excellent
138,Kia,Carnival,2024,Diesel,Manual,1820000.0,23.9,2000,5,20800.0,18.2,20.8,0,1.5L-2.0L,Good
139,Mahindra,XUV700,2017,Diesel,Automatic,480000.0,17.5,2500,6,24900.0,4.8,24.9,7,2.0L-3.0L,Average
140,Hyundai,Verna,2021,Electric,Manual,2480000.0,20.8,800,5,5500.0,24.8,5.5,3,Below 1.0L,Good
141,Skoda,Kushaq,2024,CNG,Automatic,2490000.0,27.8,1500,7,7500.0,24.9,7.5,0,1.0L-1.5L,Excellent
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,2860000.0,28.0,1500,5,16700.0,28.6,16.7,9,1.0L-1.5L,Excellent
143,Honda,City,2018,Electric,Automatic,3370000.0,14.4,1200,6,15300.0,33.7,15.3,6,1.0L-1.5L,Low
144,Kia,Carens,2022,CNG,Automatic,2010000.0,22.7,2000,6,16900.0,20.1,16.9,2,1.5L-2.0L,Good
145,Honda,City,2018,CNG,Manual,1610000.0,17.7,1000,6,12300.0,16.1,12.3,6,Below 1.0L,Average
146,Skoda,Superb,2024,Electric,Manual,2440000.0,17.7,1500,6,6400.0,24.4,6.4,0,1.0L-1.5L,Average
147,Honda,Civic,2022,Diesel,Automatic,2700000.0,18.1,1800,5,22900.0,27.0,22.9,2,1.5L-2.0L,Average
148,Toyota,Glanza,2017,Electric,Manual,3190000.0,27.7,1800,4,21100.0,31.9,21.1,7,1.5L-2.0L,Excellent
149,Renault,Duster,2023,Petrol,Manual,3440000.0,17.9,1200,7,6600.0,34.4,6.6,1,1.0L-1.5L,Average
150,Volkswagen,Vento,2018,Electric,Manual,1430000.0,24.6,1500,4,8000.0,14.3,8.0,6,1.0L-1.5L,Good
151,Volkswagen,Polo,2023,CNG,Manual,3310000.0,24.2,2000,4,23300.0,33.1,23.3,1,1.5L-2.0L,Good
152,Mahindra,XUV700,2024,Petrol,Automatic,2120000.0,24.9,1800,7,23500.0,21.2,23.5,0,1.5L-2.0L,Good
153,Volkswagen,Polo,2016,Diesel,Automatic,3120000.0,19.5,1000,7,9400.0,31.2,9.4,8,Below 1.0L,Average
154,Honda,Civic,2022,Electric,Automatic,1140000.0,29.9,800,5,11600.0,11.4,11.6,2,Below 1.0L,Excellent
155,Renault,Lodgy,2023,Diesel,Automatic,1410000.0,19.1,2000,6,8200.0,14.1,8.2,1,1.5L-2.0L,Average
156,Hyundai,i20,2023,Electric,Manual,2800000.0,23.4,800,5,16600.0,28.0,16.6,1,Below 1.0L,Good
157,Skoda,Superb,2023,Electric,Automatic,3300000.0,10.6,2500,4,9600.0,33.0,9.6,1,2.0L-3.0L,Low
158,Volkswagen,Taigun,2016,Electric,Manual,1330000.0,10.9,1800,7,22900.0,13.3,22.9,8,1.5L-2.0L,Low
159,Kia,Sonet,2015,Petrol,Automatic,1750000.0,23.3,1200,4,13100.0,17.5,13.1,9,1.0L-1.5L,Good
160,Kia,Seltos,2019,CNG,Automatic,1980000.0,18.8,2500,4,10400.0,19.8,10.4,5,2.0L-3.0L,Average
161,Mahindra,Bolero,2023,Petrol,Manual,3400000.0,29.7,1200,5,15800.0,34.0,15.8,1,1.0L-1.5L,Excellent
162,Kia,Seltos,2023,CNG,Manual,2860000.0,26.7,1000,4,9600.0,28.6,9.6,1,Below 1.0L,Excellent
163,Skoda,Kushaq,2024,Electric,Automatic,2250000.0,21.4,1800,6,23800.0,22.5,23.8,0,1.5L-2.0L,Good
164,Honda,Amaze,2023,Diesel,Automatic,590000.0,28.0,1500,4,13000.0,5.9,13.0,1,1.0L-1.5L,Excellent
165,Volkswagen,Vento,2019,CNG,Manual,2350000.0,21.7,1500,4,16300.0,23.5,16.3,5,1.0L-1.5L,Good
166,Mahindra,XUV700,2016,Petrol,Automatic,3460000.0,10.9,1800,6,12800.0,34.6,12.8,8,1.5L-2.0L,Low
167,Renault,Kiger,2015,Petrol,Manual,2270000.0,16.9,800,4,12200.0,22.7,12.2,9,Below 1.0L,Average
168,Renault,Kwid,2024,Petrol,Manual,1460000.0,18.4,1200,6,17100.0,14.6,17.1,0,1.0L-1.5L,Average
169,Toyota,Glanza,2015,Diesel,Manual,970000.0,15.9,2500,7,21400.0,9.7,21.4,9,2.0L-3.0L,Average
170,Renault,Kiger,2017,Electric,Automatic,3390000.0,24.5,800,5,23000.0,33.9,23.0,7,Below 1.0L,Good
171,Mahindra,XUV300,2021,Diesel,Automatic,430000.0,22.4,1800,4,18100.0,4.3,18.1,3,1.5L-2.0L,Good
172,Renault,Kwid,2018,CNG,Manual,2020000.0,10.4,1000,4,11600.0,20.2,11.6,6,Below 1.0L,Low
173,Mahindra,Scorpio,2015,Electric,Manual,1920000.0,26.0,1500,7,5500.0,19.2,5.5,9,1.0L-1.5L,Excellent
174,Mahindra,Scorpio,2016,Electric,Manual,2640000.0,16.3,2500,5,24600.0,26.4,24.6,8,2.0L-3.0L,Average
175,Maruti Suzuki,Ertiga,2016,CNG,Automatic,3100000.0,19.5,1200,5,15300.0,31.0,15.3,8,1.0L-1.5L,Average
176,Hyundai,i10,2019,CNG,Manual,1540000.0,12.1,1500,7,11900.0,15.4,11.9,5,1.0L-1.5L,Low
177,Skoda,Superb,2015,CNG,Manual,2390000.0,22.7,1000,6,16100.0,23.9,16.1,9,Below 1.0L,Good
178,Volkswagen,Vento,2022,Petrol,Automatic,1030000.0,11.1,2500,7,16700.0,10.3,16.7,2,2.0L-3.0L,Low
179,Mahindra,Bolero,2016,CNG,Manual,550000.0,10.4,1000,7,24200.0,5.5,24.2,8,Below 1.0L,Low
180,Volkswagen,Vento,2022,Petrol,Manual,2270000.0,24.3,2500,6,24700.0,22.7,24.7,2,2.0L-3.0L,Good
181,Toyota,Urban Cruiser,2019,Petrol,Manual,590000.0,16.3,2500,6,24000.0,5.9,24.0,5,2.0L-3.0L,Average
182,Maruti Suzuki,Baleno,2021,Electric,Automatic,980000.0,27.8,1800,7,16900.0,9.8,16.9,3,1.5L-2.0L,Excellent
183,Kia,Carens,2021,Electric,Automatic,500000.0,29.6,1800,6,12800.0,5.0,12.8,3,1.5L-2.0L,Excellent
184,Hyundai,Verna,2022,Electric,Automatic,2040000.0,28.2,1500,7,18900.0,20.4,18.9,2,1.0L-1.5L,Excellent
185,Toyota,Innova,2015,Electric,Manual,1540000.0,25.9,1200,4,24600.0,15.4,24.6,9,1.0L-1.5L,Excellent
186,Tata Motors,Tiago,2016,Electric,Manual,1840000.0,12.6,800,7,24600.0,18.4,24.6,8,Below 1.0L,Low
187,Honda,Amaze,2020,Diesel,Manual,3150000.0,22.0,1000,4,22600.0,31.5,22.6,4,Below 1.0L,Good
188,Kia,Seltos,2015,Petrol,Manual,1290000.0,23.9,1000,7,17000.0,12.9,17.0,9,Below 1.0L,Good
189,Volkswagen,Polo,2017,CNG,Automatic,2610000.0,14.0,1800,7,9800.0,26.1,9.8,7,1.5L-2.0L,Low
190,Kia,EV6,2019,Diesel,Automatic,2780000.0,23.6,1000,5,14100.0,27.8,14.1,5,Below 1.0L,Good
191,Tata Motors,Tiago,2017,Petrol,Manual,1840000.0,29.7,1500,6,15500.0,18.4,15.5,7,1.0L-1.5L,Excellent
192,Renault,Triber,2021,Diesel,Automatic,2710000.0,18.6,1500,4,7300.0,27.1,7.3,3,1.0L-1.5L,Average
193,Mahindra,Bolero,2021,Petrol,Manual,1930000.0,10.1,1800,4,6700.0,19.3,6.7,3,1.5L-2.0L,Low
194,Hyundai,Creta,2019,Electric,Automatic,1510000.0,13.7,800,6,10200.0,15.1,10.2,5,Below 1.0L,Low
195,Hyundai,Venue,2019,CNG,Manual,2470000.0,29.2,1000,7,12800.0,24.7,12.8,5,Below 1.0L,Excellent
196,Mahindra,Thar,2024,Diesel,Automatic,3280000.0,20.1,1500,5,9400.0,32.8,9.4,0,1.0L-1.5L,Good
197,Toyota,Fortuner,2024,Petrol,Automatic,2030000.0,15.7,1800,7,23000.0,20.3,23.0,0,1.5L-2.0L,Average
198,Honda,Amaze,2018,Diesel,Automatic,1010000.0,22.2,2000,5,8100.0,10.1,8.1,6,1.5L-2.0L,Good
199,Honda,Civic,2015,Electric,Automatic,2860000.0,18.7,2500,4,16600.0,28.6,16.6,9,2.0L-3.0L,Average
200,Renault,Lodgy,2019,Electric,Manual,2590000.0,24.7,2500,6,21100.0,25.9,21.1,5,2.0L-3.0L,Good
201,Toyota,Glanza,2017,Electric,Automatic,2150000.0,12.0,2000,7,17700.0,21.5,17.7,7,1.5L-2.0L,Low
202,Volkswagen,Tiguan,2018,Petrol,Manual,1090000.0,28.1,800,4,24500.0,10.9,24.5,6,Below 1.0L,Excellent
203,Skoda,Kushaq,2016,Electric,Automatic,1860000.0,18.1,800,4,9400.0,18.6,9.4,8,Below 1.0L,Average
204,Skoda,Superb,2018,Electric,Manual,1870000.0,13.5,800,6,21000.0,18.7,21.0,6,Below 1.0L,Low
205,Honda,Civic,2022,Diesel,Manual,2860000.0,23.6,1500,4,13700.0,28.6,13.7,2,1.0L-1.5L,Good
